"filename", "language", "C++", "XML", "Log", "comment", "blank", "total"
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\grid\pattern_grid_elt.cpp", "C++", 31, 0, 0, 0, 8, 39
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\grid\pattern_grid_elt.hpp", "C++", 15, 0, 0, 0, 5, 20
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\grid\seq_grid_elt.cpp", "C++", 30, 0, 0, 0, 6, 36
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\grid\seq_grid_elt.hpp", "C++", 15, 0, 0, 0, 5, 20
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\image_elt.cpp", "C++", 128, 0, 0, 0, 29, 157
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\image_elt.hpp", "C++", 42, 0, 0, 0, 9, 51
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\rect_elt.cpp", "C++", 13, 0, 0, 0, 4, 17
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\rect_elt.hpp", "C++", 10, 0, 0, 0, 5, 15
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\root_elt.cpp", "C++", 44, 0, 0, 0, 8, 52
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\root_elt.hpp", "C++", 3, 0, 0, 0, 3, 6
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\text_elt.cpp", "C++", 30, 0, 0, 0, 9, 39
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\ui_elements\text_elt.hpp", "C++", 17, 0, 0, 0, 7, 24
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\util.cpp", "C++", 74, 0, 0, 0, 10, 84
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\util.hpp", "C++", 22, 0, 0, 0, 12, 34
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\x64\Debug\osc-seq-cpp.log", "Log", 0, 0, 2, 0, 1, 3
"Total", "-", 2834, 211, 2, 8, 623, 3678
